Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression,0.768595041322314,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.8649535265172226
DecisionTree,0.7933884297520661,0.765625,0.8305084745762712,0.7967479674796748,0.8437670858392565
KNN,0.8264462809917356,0.8166666666666667,0.8305084745762712,0.8235294117647058,0.8790322580645162
RandomForest,0.7851239669421488,0.7796610169491526,0.7796610169491526,0.7796610169491526,0.9002186987424822
XGBoost,0.7851239669421488,0.7894736842105263,0.7627118644067796,0.7758620689655172,0.8646801530891197
